Date,Open,High,Low,Close,Adj Close,Volume
2023-11-22,378.000000,379.790009,374.970001,377.850006,377.152557,23345300
2023-11-24,377.329987,377.970001,375.140015,377.429993,376.733307,10176600
2023-11-27,376.779999,380.640015,376.200012,378.609985,377.911133,22179200
2023-11-28,378.350006,383.000000,378.160004,382.700012,381.993622,20453100
2023-11-29,383.760010,384.299988,377.440002,378.850006,378.150696,28963400
2023-11-30,378.489990,380.089996,375.470001,378.910004,378.210602,30554400
2023-12-01,376.760010,378.160004,371.309998,374.510010,373.818726,33020400
2023-12-04,369.100006,369.519989,362.899994,369.140015,368.458649,32063300
2023-12-05,366.450012,373.079987,365.619995,372.519989,371.832367,23065000
2023-12-06,373.540009,374.179993,368.029999,368.799988,368.119232,21182100
2023-12-07,368.230011,371.450012,366.320007,370.950012,370.265289,23118900
2023-12-08,369.200012,374.459991,368.230011,374.230011,373.539246,20144800
2023-12-11,368.480011,371.600006,366.100006,371.299988,370.614624,27708800
2023-12-12,370.850006,374.420013,370.459991,374.380005,373.688965,24838300
2023-12-13,376.019989,377.640015,370.769989,374.369995,373.678955,30955500
2023-12-14,373.309998,373.760010,364.130005,365.929993,365.254547,43277500
2023-12-15,366.850006,372.399994,366.279999,370.730011,370.045715,78478200
2023-12-18,369.450012,373.000000,368.679993,372.649994,371.962128,21802900
2023-12-19,371.489990,373.260010,369.839996,373.260010,372.571045,20603700
2023-12-20,375.000000,376.029999,370.529999,370.619995,369.935883,26316700
2023-12-21,372.559998,374.410004,370.040009,373.540009,372.850525,17708000
2023-12-22,373.679993,375.179993,372.709991,374.579987,373.888580,17091100
2023-12-26,375.000000,376.940002,373.500000,374.660004,373.968445,12673100
2023-12-27,373.690002,375.059998,372.809998,374.070007,373.379547,14905400
2023-12-28,375.369995,376.459991,374.160004,375.279999,374.587280,14327000
2023-12-29,376.000000,377.160004,373.480011,376.040009,375.345886,18723000
2024-01-02,373.859985,375.899994,366.769989,370.869995,370.185425,25258600
2024-01-03,369.010010,373.260010,368.510010,370.600006,369.915924,23083500
2024-01-04,370.670013,373.100006,367.170013,367.940002,367.260834,20901500
2024-01-05,368.970001,372.059998,366.500000,367.750000,367.071198,20987000
2024-01-08,369.299988,375.200012,369.010010,374.690002,373.998383,23134000
2024-01-09,372.010010,375.989990,371.190002,375.790009,375.096375,20830000
2024-01-10,376.369995,384.170013,376.320007,382.769989,382.063446,25514200
2024-01-11,386.000000,390.679993,380.380005,384.630005,383.920044,27850800
2024-01-12,385.489990,388.679993,384.649994,388.470001,387.752960,21645700
2024-01-16,393.660004,394.029999,387.619995,390.269989,389.549622,27202300
2024-01-17,387.980011,390.109985,384.809998,389.470001,388.751099,22234100
2024-01-18,391.720001,393.989990,390.119995,393.869995,393.142975,23392100
2024-01-19,395.760010,398.670013,393.500000,398.670013,397.934143,29272000
2024-01-22,400.019989,400.619995,393.589996,396.510010,395.778107,27016900
2024-01-23,395.750000,399.380005,393.929993,398.899994,398.163696,20525900
2024-01-24,401.540009,405.630005,400.450012,402.559998,401.816925,24867000
2024-01-25,404.320007,407.010010,402.529999,404.869995,404.122681,21021200
2024-01-26,404.369995,406.170013,402.429993,403.929993,403.184418,17803300
2024-01-29,406.059998,409.980011,404.329987,409.720001,408.963715,24510200
2024-01-30,412.260010,413.049988,406.450012,408.589996,407.835815,33477600
2024-01-31,406.959991,415.320007,397.209991,397.579987,396.846130,47871100
2024-02-01,401.829987,408.000000,401.799988,403.779999,403.034698,30657700
2024-02-02,403.809998,412.649994,403.559998,411.220001,410.460968,28245000
2024-02-05,409.899994,411.160004,403.989990,405.649994,404.901245,25352300
2024-02-06,405.880005,407.970001,402.910004,405.489990,404.741516,18382600
2024-02-07,407.440002,414.299988,407.399994,414.049988,413.285706,22340500
2024-02-08,414.049988,415.559998,412.529999,414.109985,413.345612,21225300
2024-02-09,415.250000,420.820007,415.089996,420.549988,419.773712,22032800
2024-02-12,420.559998,420.739990,414.750000,415.260010,414.493500,21202900
2024-02-13,404.940002,410.070007,403.390015,406.320007,405.570007,27824900
2024-02-14,408.070007,409.839996,404.570007,409.489990,409.489990,20401200
2024-02-15,408.140015,409.130005,404.290009,406.559998,406.559998,21825500
2024-02-16,407.959991,408.290009,403.440002,404.059998,404.059998,22281100
2024-02-20,403.239990,404.489990,398.010010,402.790009,402.790009,24307900
2024-02-21,400.170013,402.290009,397.220001,402.179993,402.179993,18518900
